Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
,,Male,No,5.0,422.0,,27.0,1.0,3.0,,Masters,913596358051,Bangalore,XL,14.0,2012.0,3.0,1
,Да,Male,No,,422.0,,,1.0,3.0,0.0,Masters,913596358051,Bangalore,XL,14.0,2012.0,,1
1998.0,Да,Male,No,5.0,422.0,Стрелец,27.0,,3.0,0.0,Masters,913596358051,Bangalore,XL,,2012.0,3.0,1
1992.0,Нет,,No,,431.0,,,5.0,3.0,,,911873549425,Pune,,14.0,2016.0,2.0,0
1995.0,Да,Male,,5.0,326.0,Весы,32.0,3.0,,1.0,Bachelors,914715418458,,L,2.0,2018.0,,1
,Да,Male,Yes,,326.0,Весы,32.0,3.0,3.0,,Bachelors,914715418458,Pune,L,2.0,2018.0,2.0,1
,Нет,Male,,2.0,91.0,,39.0,7.0,3.0,1.0,Bachelors,918507476652,Bangalore,L,15.0,2016.0,3.0,0
1988.0,Нет,Male,No,4.0,362.0,,37.0,8.0,,0.0,Bachelors,917735427380,Bangalore,S,8.0,2012.0,1.0,0
1998.0,Нет,Male,No,3.0,236.0,Лев,29.0,9.0,1.0,0.0,Bachelors,917712682584,Bangalore,M,4.0,2017.0,,0
,,Female,No,2.0,164.0,Стрелец,34.0,0.0,3.0,1.0,Bachelors,914613004784,Bangalore,M,7.0,2014.0,3.0,0
1993.0,Нет,Female,No,,164.0,Стрелец,34.0,0.0,3.0,1.0,,914613004784,Bangalore,M,7.0,2014.0,,0
1992.0,,Male,No,4.0,13.0,Близнецы,34.0,4.0,,0.0,Bachelors,914431032754,,,15.0,2014.0,1.0,0
1992.0,Нет,Male,No,4.0,13.0,Близнецы,34.0,4.0,3.0,0.0,Bachelors,914431032754,Pune,,15.0,2014.0,1.0,0
,,Male,,4.0,13.0,,34.0,,3.0,,Bachelors,914431032754,Pune,XL,15.0,2014.0,,0
1992.0,Нет,Male,No,4.0,13.0,Близнецы,34.0,,3.0,0.0,Bachelors,914431032754,Pune,,15.0,2014.0,1.0,0
1992.0,Нет,Male,No,4.0,13.0,,34.0,4.0,3.0,0.0,Bachelors,914431032754,,XL,,2014.0,1.0,0
1996.0,Да,Female,No,0.0,,Стрелец,30.0,,2.0,,,913904285501,Pune,XS,3.0,2015.0,2.0,1
1996.0,,Female,No,0.0,243.0,,30.0,,2.0,0.0,Bachelors,913904285501,,XS,,,2.0,1
2003.0,,Female,No,0.0,118.0,,22.0,5.0,2.0,1.0,Bachelors,912826950945,New Delhi,L,,2016.0,1.0,1
2003.0,,Female,No,0.0,,Весы,22.0,5.0,2.0,1.0,Bachelors,912826950945,New Delhi,L,11.0,2016.0,1.0,1
1990.0,Нет,Male,No,0.0,297.0,Овен,37.0,0.0,3.0,1.0,Bachelors,919846874566,Bangalore,L,6.0,2012.0,2.0,0
1990.0,Нет,Male,,,297.0,Овен,,0.0,3.0,1.0,,919846874566,Bangalore,L,,2012.0,2.0,0
,Нет,Male,No,0.0,,Овен,,,,1.0,Bachelors,919846874566,,L,6.0,,2.0,0
,,Male,No,0.0,,Овен,,0.0,,1.0,Bachelors,919846874566,,L,,2012.0,2.0,0
,Нет,Male,,0.0,297.0,Овен,37.0,0.0,3.0,,Bachelors,919846874566,Bangalore,L,,,2.0,0
1997.0,Нет,Male,No,,180.0,Телец,,4.0,2.0,1.0,,919094873131,New Delhi,M,0.0,2017.0,1.0,0
1997.0,Нет,Male,,4.0,180.0,,28.0,,2.0,1.0,Masters,919094873131,,,,2017.0,1.0,0
1997.0,Нет,Male,No,4.0,180.0,Телец,28.0,4.0,2.0,,Masters,919094873131,New Delhi,M,0.0,,1.0,0
1991.0,Нет,Male,No,3.0,169.0,Дева,36.0,8.0,2.0,0.0,,916808574017,,M,15.0,2017.0,4.0,0
1991.0,Нет,Male,No,3.0,169.0,Дева,36.0,8.0,2.0,0.0,Bachelors,916808574017,New Delhi,M,15.0,2017.0,4.0,0
1991.0,Нет,Male,No,3.0,,Дева,,,,0.0,Bachelors,916808574017,New Delhi,M,,2017.0,4.0,0
1999.0,Нет,Male,Yes,,31.0,Стрелец,27.0,1.0,3.0,0.0,Bachelors,912767392867,,M,14.0,2015.0,,0
,Нет,Male,No,4.0,466.0,Дева,29.0,1.0,3.0,1.0,Bachelors,914825646674,Bangalore,L,4.0,,5.0,0
1998.0,Нет,Male,,4.0,,,29.0,1.0,3.0,,Bachelors,914825646674,,L,4.0,2017.0,5.0,0
,Нет,Male,No,4.0,466.0,Дева,29.0,1.0,,1.0,,914825646674,Bangalore,,4.0,2017.0,5.0,0
1998.0,,Male,,4.0,466.0,Дева,29.0,1.0,3.0,,Bachelors,914825646674,Bangalore,L,4.0,2017.0,5.0,0
,Нет,Male,No,,,Дева,29.0,1.0,3.0,1.0,Bachelors,914825646674,Bangalore,,4.0,,5.0,0
,Нет,Female,Yes,0.0,65.0,Стрелец,22.0,3.0,3.0,,Bachelors,912762759952,,M,,,,0
2004.0,Нет,Female,Yes,0.0,65.0,Стрелец,22.0,3.0,3.0,1.0,Bachelors,912762759952,Bangalore,M,9.0,2013.0,2.0,0
2004.0,Нет,Female,Yes,0.0,65.0,Стрелец,22.0,3.0,3.0,1.0,Bachelors,912762759952,Bangalore,M,9.0,2013.0,2.0,0
2004.0,Нет,Female,Yes,0.0,65.0,Стрелец,,3.0,3.0,,Bachelors,912762759952,Bangalore,,9.0,2013.0,2.0,0
1989.0,,,No,2.0,,Весы,37.0,5.0,3.0,1.0,Bachelors,915518623865,Bangalore,M,6.0,2016.0,3.0,0
1989.0,Нет,Male,No,,239.0,Весы,,5.0,3.0,1.0,Bachelors,915518623865,,M,6.0,2016.0,,0
,Нет,Male,No,2.0,,Весы,37.0,5.0,3.0,,Bachelors,915518623865,Bangalore,M,6.0,,3.0,0
2004.0,Нет,,No,1.0,460.0,Овен,23.0,8.0,3.0,1.0,Bachelors,918967744216,Bangalore,L,14.0,2015.0,,0
2004.0,Нет,Male,No,1.0,460.0,Овен,23.0,8.0,3.0,1.0,Bachelors,918967744216,,L,14.0,2015.0,5.0,0
,Нет,Male,No,,460.0,Овен,23.0,8.0,3.0,1.0,Bachelors,918967744216,Bangalore,L,14.0,2015.0,5.0,0
2004.0,Нет,Male,No,1.0,460.0,Овен,23.0,8.0,,1.0,Bachelors,918967744216,,L,14.0,2015.0,,0
1994.0,Да,,No,,78.0,Телец,31.0,,2.0,1.0,Bachelors,916166633814,Pune,L,1.0,2013.0,3.0,1
1994.0,,Female,,,78.0,Телец,31.0,2.0,2.0,,Bachelors,916166633814,Pune,L,1.0,2013.0,3.0,1
1994.0,Да,Female,No,2.0,78.0,Телец,31.0,2.0,2.0,,Bachelors,916166633814,Pune,,1.0,2013.0,3.0,1
1995.0,Нет,,No,2.0,453.0,,,10.0,2.0,1.0,Masters,916441890284,New Delhi,,,,3.0,0
1995.0,Нет,Female,,2.0,453.0,Водолей,30.0,10.0,2.0,1.0,,916441890284,New Delhi,S,,2017.0,,0
1995.0,Нет,Female,No,2.0,453.0,Водолей,30.0,10.0,2.0,1.0,Masters,916441890284,New Delhi,S,13.0,2017.0,3.0,0
1995.0,Нет,,No,2.0,453.0,Водолей,30.0,10.0,2.0,,,916441890284,New Delhi,,,2017.0,,0
2000.0,Нет,Male,No,3.0,306.0,Рыбы,25.0,,3.0,,PHD,918557075914,,L,,,2.0,0
2000.0,Нет,Male,No,3.0,306.0,,25.0,7.0,3.0,1.0,PHD,918557075914,New Delhi,,5.0,2013.0,2.0,0
2000.0,Нет,Male,No,3.0,,Рыбы,25.0,,,1.0,PHD,918557075914,,,,2013.0,2.0,0
2000.0,,Male,No,3.0,306.0,,25.0,7.0,3.0,1.0,PHD,918557075914,,L,5.0,2013.0,2.0,0
2003.0,Нет,Male,No,,169.0,Близнецы,23.0,5.0,,1.0,,911375687093,,L,14.0,,1.0,0
2003.0,Нет,Male,No,1.0,169.0,Близнецы,23.0,5.0,,1.0,Bachelors,911375687093,,L,14.0,2014.0,1.0,0
,Да,Male,No,4.0,65.0,Лев,26.0,2.0,3.0,0.0,Bachelors,913854211673,Bangalore,M,7.0,,2.0,1
2000.0,Да,Male,No,,,Лев,26.0,2.0,3.0,,Bachelors,913854211673,,M,7.0,2018.0,2.0,1
,Да,Male,,4.0,65.0,Лев,26.0,2.0,3.0,0.0,Bachelors,913854211673,Bangalore,M,7.0,,2.0,1
2000.0,Да,Male,No,4.0,65.0,Лев,26.0,2.0,3.0,0.0,Bachelors,913854211673,Bangalore,M,7.0,2018.0,,1
,Да,Male,,4.0,65.0,Лев,,2.0,3.0,0.0,,913854211673,Bangalore,M,7.0,2018.0,,1
1986.0,Нет,Male,No,5.0,73.0,,40.0,7.0,,0.0,Bachelors,916964586296,Bangalore,S,,,3.0,0
1986.0,Нет,Male,No,5.0,73.0,Козерог,,7.0,3.0,0.0,Bachelors,916964586296,Bangalore,S,15.0,2016.0,3.0,0
1989.0,Да,Female,No,0.0,231.0,,37.0,7.0,2.0,,Bachelors,913581589067,Pune,M,2.0,2017.0,3.0,1
1989.0,,Female,No,0.0,231.0,Водолей,,7.0,2.0,,Bachelors,913581589067,Pune,,,2017.0,3.0,1
1989.0,Да,,No,0.0,231.0,Водолей,37.0,7.0,2.0,1.0,Bachelors,913581589067,Pune,M,,,3.0,1
,Нет,Female,No,3.0,235.0,,30.0,3.0,1.0,,Bachelors,912385735274,Bangalore,L,5.0,2014.0,3.0,0
1997.0,Нет,Female,No,3.0,235.0,Близнецы,30.0,3.0,1.0,1.0,Bachelors,912385735274,Bangalore,L,5.0,2014.0,3.0,0
,Нет,Female,,3.0,235.0,Близнецы,30.0,,1.0,1.0,Bachelors,912385735274,Bangalore,,5.0,2014.0,3.0,0
1996.0,Нет,Male,No,3.0,87.0,,29.0,6.0,3.0,0.0,,916407624685,New Delhi,L,15.0,2012.0,,0
1996.0,Нет,,No,3.0,87.0,,29.0,6.0,3.0,0.0,Bachelors,916407624685,New Delhi,L,15.0,,,0
1996.0,Нет,Male,No,3.0,,,29.0,,3.0,0.0,Bachelors,916407624685,New Delhi,L,15.0,2012.0,,0
1996.0,Нет,Male,No,,87.0,Телец,29.0,,3.0,0.0,,916407624685,New Delhi,L,15.0,2012.0,3.0,0
1991.0,,,No,0.0,211.0,Скорпион,34.0,3.0,2.0,0.0,Bachelors,919302866891,New Delhi,,2.0,2018.0,5.0,1
,Да,,No,2.0,101.0,,29.0,1.0,2.0,0.0,Bachelors,912198167060,Pune,,2.0,2017.0,3.0,1
,Да,Female,No,2.0,101.0,Лев,,1.0,2.0,0.0,,912198167060,Pune,XS,2.0,,3.0,1
1997.0,Да,Female,No,2.0,101.0,Лев,,,,,Bachelors,912198167060,Pune,XS,2.0,,3.0,1
1997.0,,,,2.0,101.0,Лев,29.0,,2.0,,,912198167060,Pune,XS,2.0,2017.0,3.0,1
1997.0,Да,,,2.0,101.0,Лев,29.0,1.0,2.0,0.0,Bachelors,912198167060,Pune,XS,2.0,,3.0,1
1996.0,,,Yes,4.0,,,30.0,0.0,3.0,1.0,Bachelors,917966353586,Pune,,4.0,2014.0,1.0,0
1996.0,Нет,Male,Yes,4.0,,Рыбы,30.0,,3.0,,Bachelors,917966353586,Pune,XL,,2014.0,1.0,0
,Нет,Male,Yes,4.0,335.0,Рыбы,30.0,0.0,3.0,1.0,Bachelors,917966353586,,XL,,,1.0,0
1996.0,,Male,Yes,4.0,335.0,,,,,,Bachelors,917966353586,Pune,XL,4.0,,1.0,0
1996.0,Нет,,Yes,4.0,335.0,Рыбы,,0.0,3.0,1.0,,917966353586,Pune,XL,4.0,2014.0,,0
1991.0,,Male,No,1.0,166.0,,36.0,6.0,3.0,,Bachelors,915143581042,Bangalore,M,1.0,2015.0,5.0,0
1991.0,Нет,,No,1.0,166.0,Козерог,36.0,,3.0,0.0,,915143581042,,M,,2015.0,5.0,0
,Нет,Male,No,1.0,166.0,Козерог,36.0,6.0,3.0,0.0,,915143581042,Bangalore,M,1.0,2015.0,,0
1991.0,Нет,Male,No,1.0,,Козерог,,6.0,,0.0,Bachelors,915143581042,Bangalore,,1.0,2015.0,5.0,0
,Нет,Male,No,,166.0,Козерог,36.0,6.0,3.0,0.0,,915143581042,Bangalore,M,1.0,2015.0,5.0,0
2002.0,,Male,,1.0,167.0,Стрелец,23.0,8.0,2.0,1.0,Masters,913215029749,,,14.0,2017.0,4.0,0
1996.0,,Male,No,3.0,83.0,Дева,30.0,,3.0,1.0,Bachelors,914050943137,Bangalore,M,0.0,2013.0,5.0,1
1996.0,Да,Male,No,3.0,83.0,Дева,30.0,3.0,3.0,,Bachelors,914050943137,Bangalore,,,2013.0,,1
1996.0,,,No,3.0,83.0,Дева,30.0,,3.0,1.0,Bachelors,914050943137,Bangalore,M,,2013.0,5.0,1
1990.0,Нет,Male,No,0.0,293.0,Лев,36.0,10.0,3.0,1.0,Bachelors,916246831440,Bangalore,L,4.0,2014.0,2.0,0
1990.0,Нет,Male,No,0.0,,Лев,36.0,10.0,3.0,1.0,Bachelors,916246831440,Bangalore,L,4.0,2014.0,2.0,0
1990.0,,Male,No,0.0,,Лев,36.0,10.0,3.0,1.0,Bachelors,916246831440,Bangalore,L,,2014.0,2.0,0
1986.0,Нет,Male,No,4.0,,Телец,39.0,10.0,,1.0,Bachelors,914353243274,,XL,,2015.0,5.0,0
1986.0,Нет,Male,No,4.0,257.0,,39.0,10.0,3.0,1.0,Bachelors,914353243274,Pune,XL,12.0,2015.0,5.0,0
1986.0,Нет,Male,No,4.0,257.0,Телец,39.0,10.0,3.0,,Bachelors,914353243274,Pune,XL,12.0,,5.0,0
1986.0,Нет,Male,,4.0,,Телец,39.0,10.0,3.0,,Bachelors,914353243274,Pune,XL,12.0,,5.0,0
1986.0,Нет,Male,,4.0,257.0,Телец,39.0,,,1.0,,914353243274,Pune,XL,12.0,2015.0,5.0,0
,Нет,Female,No,1.0,,Водолей,,5.0,3.0,,Bachelors,911397805803,,M,14.0,2014.0,,0
1998.0,,Male,No,5.0,374.0,,27.0,3.0,3.0,0.0,PHD,912535822762,New Delhi,S,6.0,2012.0,1.0,0
1998.0,Нет,Male,No,5.0,374.0,,27.0,3.0,,0.0,,912535822762,New Delhi,S,6.0,2012.0,1.0,0
1991.0,Нет,Male,No,2.0,179.0,Рак,35.0,1.0,,0.0,Masters,917075279039,New Delhi,,2.0,,3.0,0
1991.0,Нет,Male,No,2.0,179.0,Рак,35.0,,,0.0,Masters,917075279039,,L,,2013.0,3.0,0
1991.0,Нет,Male,No,2.0,179.0,,,,3.0,0.0,Masters,917075279039,,L,2.0,2013.0,,0
1991.0,Нет,Male,No,2.0,179.0,Рак,35.0,1.0,3.0,0.0,Masters,917075279039,New Delhi,L,2.0,2013.0,,0
1993.0,Нет,Male,No,0.0,168.0,Телец,34.0,2.0,,1.0,Masters,915805035597,New Delhi,L,4.0,2017.0,,0
,Нет,Male,No,0.0,168.0,Телец,34.0,2.0,2.0,1.0,Masters,915805035597,New Delhi,,4.0,2017.0,,0
,,,No,1.0,50.0,Скорпион,,,,,Bachelors,911411074769,Bangalore,,11.0,2013.0,,0
1995.0,Нет,Female,No,,50.0,,30.0,6.0,3.0,0.0,Bachelors,911411074769,Bangalore,,11.0,,2.0,0
1995.0,Нет,Female,No,,50.0,,30.0,6.0,,0.0,Bachelors,911411074769,Bangalore,S,11.0,2013.0,2.0,0
1995.0,Нет,Female,No,1.0,,,30.0,6.0,3.0,0.0,Bachelors,911411074769,,S,11.0,2013.0,2.0,0
1991.0,Нет,Male,No,2.0,75.0,Близнецы,,5.0,3.0,1.0,PHD,916182477634,New Delhi,,8.0,2017.0,1.0,0
1991.0,Нет,Male,No,2.0,75.0,Близнецы,34.0,5.0,3.0,1.0,PHD,916182477634,New Delhi,M,8.0,2017.0,1.0,0
,Да,,No,4.0,220.0,Лев,26.0,2.0,,1.0,Bachelors,916928438645,Pune,M,3.0,2015.0,2.0,1
,Нет,Female,No,0.0,,,34.0,6.0,3.0,1.0,Bachelors,914549720903,Bangalore,M,6.0,,2.0,0
1993.0,Нет,Female,No,0.0,195.0,Дева,34.0,6.0,3.0,1.0,Bachelors,914549720903,Bangalore,M,6.0,2016.0,,0
1993.0,,Female,No,0.0,,Дева,,6.0,3.0,1.0,Bachelors,914549720903,,,6.0,2016.0,,0
,Нет,Female,No,0.0,195.0,Дева,34.0,6.0,3.0,1.0,Bachelors,914549720903,,,,,2.0,0
1993.0,Нет,Female,No,0.0,195.0,Дева,34.0,,3.0,1.0,,914549720903,Bangalore,M,6.0,2016.0,2.0,0
1995.0,,,Yes,5.0,369.0,Скорпион,31.0,2.0,3.0,1.0,Bachelors,911322207680,Bangalore,XL,13.0,2014.0,,0
,Нет,Female,Yes,,369.0,Скорпион,31.0,2.0,,1.0,,911322207680,Bangalore,XL,13.0,2014.0,3.0,0
,Нет,Female,,5.0,369.0,Скорпион,31.0,2.0,3.0,1.0,Bachelors,911322207680,Bangalore,XL,13.0,,3.0,0
1995.0,Нет,,,5.0,,Скорпион,31.0,2.0,,1.0,Bachelors,911322207680,,,,,3.0,0
1995.0,Нет,,,,11.0,Водолей,31.0,,3.0,,,912431154282,New Delhi,M,3.0,2017.0,,0
1995.0,,Female,,,11.0,,31.0,1.0,3.0,0.0,Bachelors,912431154282,New Delhi,M,3.0,,2.0,0
1995.0,Нет,Female,Yes,5.0,11.0,,,1.0,,0.0,Bachelors,912431154282,New Delhi,,3.0,2017.0,2.0,0
1999.0,Нет,,No,2.0,18.0,Овен,28.0,0.0,,0.0,PHD,914323867220,New Delhi,M,12.0,2013.0,2.0,0
1999.0,,Male,No,2.0,18.0,Овен,,0.0,3.0,0.0,PHD,914323867220,New Delhi,,,2013.0,2.0,0
1999.0,Нет,,No,2.0,18.0,Овен,28.0,0.0,3.0,,PHD,914323867220,,M,12.0,2013.0,2.0,0
1999.0,Нет,Male,No,2.0,,,,0.0,3.0,0.0,,914323867220,New Delhi,M,12.0,2013.0,2.0,0
1999.0,Нет,Male,,2.0,18.0,Овен,28.0,0.0,3.0,,PHD,914323867220,,M,12.0,2013.0,,0
1989.0,Нет,Male,No,2.0,422.0,Дева,38.0,4.0,3.0,0.0,,914076638968,Bangalore,M,3.0,2016.0,3.0,0
1989.0,,Male,No,2.0,422.0,,38.0,4.0,,0.0,Bachelors,914076638968,Bangalore,M,3.0,2016.0,3.0,0
1989.0,,,No,2.0,422.0,,38.0,4.0,3.0,0.0,,914076638968,Bangalore,,3.0,2016.0,3.0,0
1989.0,Нет,Male,No,2.0,,,38.0,4.0,,,Bachelors,914076638968,Bangalore,M,3.0,2016.0,3.0,0
,Нет,Male,No,2.0,422.0,Дева,38.0,4.0,3.0,0.0,Bachelors,914076638968,Bangalore,M,3.0,,,0
,Нет,Female,,2.0,,,39.0,8.0,3.0,,,914044402999,,S,2.0,2014.0,,0
1988.0,Нет,Female,No,,333.0,Близнецы,39.0,8.0,3.0,1.0,Masters,914044402999,Pune,S,2.0,2014.0,,0
1993.0,Нет,,No,4.0,114.0,Козерог,32.0,6.0,3.0,1.0,Bachelors,911488282691,Pune,L,5.0,2013.0,4.0,0
1993.0,Нет,Male,No,4.0,114.0,,32.0,6.0,,1.0,Bachelors,911488282691,,L,5.0,2013.0,4.0,0
1990.0,Да,,,2.0,,Дева,36.0,10.0,2.0,0.0,,918135131025,Pune,L,14.0,2017.0,1.0,1
1990.0,Да,Male,No,,72.0,Дева,36.0,10.0,2.0,0.0,Masters,918135131025,Pune,L,,2017.0,,1
,Да,Male,No,2.0,72.0,Дева,36.0,10.0,2.0,0.0,,918135131025,Pune,L,14.0,,1.0,1
1996.0,,,,3.0,454.0,Овен,29.0,,3.0,1.0,Masters,917326137751,New Delhi,XXL,6.0,2013.0,,0
1996.0,Нет,,,3.0,,Овен,29.0,,3.0,1.0,,917326137751,New Delhi,XXL,6.0,2013.0,2.0,0
1996.0,Нет,Male,No,,454.0,Овен,29.0,,,1.0,Masters,917326137751,New Delhi,XXL,6.0,2013.0,2.0,0
,Нет,Male,No,3.0,,Овен,29.0,4.0,3.0,1.0,,917326137751,New Delhi,XXL,6.0,2013.0,,0
1995.0,Нет,Male,No,5.0,489.0,Рак,30.0,7.0,3.0,0.0,Bachelors,914746549429,Bangalore,L,3.0,2015.0,5.0,0
1995.0,Нет,Male,No,5.0,489.0,Рак,30.0,,3.0,0.0,Bachelors,914746549429,Bangalore,,3.0,,,0
1995.0,,Male,No,5.0,,,30.0,7.0,3.0,0.0,Bachelors,914746549429,,L,3.0,,,0
,Да,Male,,3.0,336.0,,25.0,10.0,,1.0,PHD,916552964233,,L,,2013.0,3.0,1
2000.0,Да,,No,,336.0,Весы,25.0,10.0,2.0,1.0,,916552964233,Bangalore,L,1.0,,3.0,1
2000.0,Да,Male,No,3.0,336.0,,25.0,10.0,2.0,1.0,PHD,916552964233,Bangalore,L,1.0,2013.0,3.0,1
2000.0,Да,Male,,3.0,336.0,,25.0,10.0,,1.0,PHD,916552964233,Bangalore,L,1.0,2013.0,3.0,1
,Да,Male,No,3.0,336.0,Весы,25.0,10.0,2.0,1.0,PHD,916552964233,Bangalore,L,,2013.0,3.0,1
2004.0,Да,Female,No,0.0,,Дева,22.0,2.0,,1.0,Bachelors,911652508811,,S,9.0,,3.0,1
2004.0,Да,Female,No,0.0,473.0,,22.0,2.0,1.0,1.0,,911652508811,,S,9.0,2014.0,3.0,1
,Да,Female,No,0.0,473.0,Дева,22.0,,1.0,,Bachelors,911652508811,Pune,S,,2014.0,3.0,1
2004.0,Да,Female,No,0.0,473.0,Дева,,2.0,1.0,1.0,Bachelors,911652508811,Pune,S,9.0,2014.0,3.0,1
2004.0,Да,,No,0.0,473.0,,22.0,2.0,,1.0,,911652508811,Pune,S,,2014.0,3.0,1
1992.0,Нет,Male,,,426.0,Стрелец,34.0,0.0,3.0,,Bachelors,914948949151,Bangalore,S,11.0,2016.0,,0
1992.0,Нет,Male,,4.0,426.0,Стрелец,34.0,0.0,,1.0,Bachelors,914948949151,Bangalore,S,11.0,2016.0,1.0,0
1985.0,,Male,No,1.0,293.0,Овен,,,3.0,1.0,Bachelors,913225739513,,,,2018.0,2.0,1
,Да,Male,No,1.0,293.0,Овен,,3.0,3.0,1.0,Bachelors,913225739513,Bangalore,M,,,2.0,1
1985.0,Да,Male,No,1.0,293.0,Овен,40.0,3.0,3.0,1.0,Bachelors,913225739513,Bangalore,,,,2.0,1
2001.0,,Male,No,4.0,103.0,,26.0,,3.0,,PHD,918796437599,Bangalore,M,4.0,2013.0,3.0,0
,Нет,Male,,,266.0,Телец,28.0,8.0,3.0,0.0,Bachelors,918379945680,,M,14.0,2014.0,3.0,0
2001.0,Нет,Female,No,2.0,30.0,Скорпион,24.0,8.0,3.0,0.0,,919865006154,Bangalore,XL,0.0,2015.0,4.0,0
2001.0,Нет,Female,No,2.0,30.0,Скорпион,24.0,8.0,3.0,0.0,Bachelors,919865006154,Bangalore,XL,0.0,2015.0,4.0,0
,Да,Female,,2.0,463.0,Водолей,40.0,,3.0,1.0,,913775727823,Bangalore,XS,,2017.0,3.0,1
2004.0,Да,Female,No,1.0,415.0,Козерог,23.0,1.0,3.0,0.0,,915012828457,,S,9.0,2018.0,4.0,1
2004.0,Да,Female,,1.0,415.0,Козерог,23.0,,,0.0,Bachelors,915012828457,Bangalore,S,9.0,2018.0,4.0,1
